Task Key,Transfer Time (s),Compile Time (s),Execution Time (s)
fibonacci_37,0.10829854011535645,1.7595455646514893,6.781639337539673
dynprog_standard_38,0.12969183921813965,1.507502794265747,5.329326629638672
2mm_39,0.0018610954284667969,0,23.875858306884766
correlation_large_40,0.12531709671020508,2.093268871307373,107.76022410392761
adi_41,0.04745626449584961,1.7339057922363281,21.25770926475525
fft_42,0.10483145713806152,1.3294470310211182,1.6307268142700195
gramschmidt_standard_43,0.038231611251831055,0,6.701986312866211
bayes_45,0.008710861206054688,0.14047455787658691,0.1780564785003662
bayes_47,0.0046977996826171875,0.00031375885009765625,0.025233983993530273
seidel-2d_44,0.04693746566772461,1.8034379482269287,50.7915141582489
SAT_49,0.002192258834838867,0.04792284965515137,3.855455160140991
fdtd-2d_50,0.0017087459564208984,0.0835871696472168,1.622772216796875
lu_large_52,0.047879934310913086,2.2327723503112793,54.92075967788696
2mm_51,0.005328178405761719,0,24.077868700027466
mengtekaluo_53,0.0023598670959472656,0.04396700859069824,9.230566263198853
fibonacci_56,0.0012919902801513672,0.04352927207946777,1.0413250923156738
gramschmidt_standard_58,0.00189208984375,0,0.5492062568664551
dynprog_standard_59,0.0024111270904541016,0.04833984375,0.617203950881958
fibonacci_60,0.002478361129760742,0.00032830238342285156,0.9676761627197266
fibonacci_61,0.002052783966064453,0.00028896331787109375,0.9651772975921631
perceptron_63,0.010610342025756836,0.328355073928833,36.05407643318176
fdtd-2d_48,0.003269672393798828,0.0002167224884033203,1.5499811172485352
gramschmidt_large_54,0.002097606658935547,0.06382083892822266,45.384562492370605
durbin_extralarge_46,0.04647684097290039,0,65.49814653396606
correlation_large_62,0.1142721176147461,0.0002951622009277344,0
bayes_64,0.003853321075439453,0.000247955322265625,0.028186321258544922
bayes_65,0.020708560943603516,0.0001468658447265625,0.0502011775970459
correlation_standard_68,0.00201416015625,0.04977154731750488,1.9973070621490479
SAT_69,0.002195596694946289,0.00014281272888183594,4.493939161300659
fft_71,0.001844167709350586,0.03604412078857422,0.05951666831970215
fft_75,0.002253293991088867,0.00014352798461914062,0.03473925590515137
dynprog_standard_77,0.00289154052734375,0.0002295970916748047,0.5643401145935059
fibonacci_78,0.004482746124267578,0.0002429485321044922,0.965172290802002
perceptron_79,0.011841058731079102,0.0003056526184082031,35.4082407951355
durbin_standard_55,0.0016782283782958984,0.0486912727355957,0.44763708114624023
durbin_standard_57,0.0033948421478271484,0.0002837181091308594,0.3849301338195801
gramschmidt_large_66,0.0017197132110595703,0.0001976490020751953,42.32873344421387
gramschmidt_large_67,0.1030724048614502,1.6134610176086426,74.98096871376038
fdtd-2d_70,0.05429863929748535,1.5640754699707031,10.659051895141602
covariance_standard_80,0.002093791961669922,0.09975838661193848,2.0987744331359863
mengtekaluo_81,0.0012233257293701172,0.0004150867462158203,9.256549596786499
fdtd-2d_72,0.06944894790649414,0.0003752708435058594,8.108154535293579
adi_73,0.0014863014221191406,0.04311347007751465,3.5426461696624756
fibonacci_82,0.0014226436614990234,0.0002582073211669922,0.9650318622589111
2mm_84,0.002288341522216797,0,25.435111045837402
correlation_large_74,0.11057758331298828,0.0004947185516357422,0
gramschmidt_large_76,0.0014111995697021484,0.00029468536376953125,44.34186029434204
fft_86,0.001313924789428711,0.00023293495178222656,0.01920771598815918
2mm_88,0.0015761852264404297,0,27.127408504486084
seidel-2d_83,0.056548357009887695,0.00018739700317382812,76.21967458724976
sieve-eratos_85,0.0019309520721435547,0.05178260803222656,2.965848207473755
gramschmidt_large_87,0.0019330978393554688,0.0002410411834716797,42.51899743080139
covariance_standard_89,0.0035054683685302734,0.00017404556274414062,1.9137632846832275
dynprog_standard_90,0.005833864212036133,0.0002593994140625,0.5626637935638428
envelop_92,0.0016808509826660156,0.04700422286987305,0.14871668815612793
covariance_standard_93,0.0021071434020996094,0.00016355514526367188,1.9070041179656982
fft_95,0.0013744831085205078,0.0002460479736328125,0.018006563186645508
fft_96,0.0009951591491699219,0.00021767616271972656,0.017251253128051758
fft_99,0.0011434555053710938,0.00015974044799804688,0.01819610595703125
fft_100,0.0012421607971191406,0.0001590251922607422,0.017624855041503906
correlation_standard_101,0.0015053749084472656,0.00024819374084472656,1.96407151222229
gramschmidt_standard_102,0.0020935535430908203,0,0.6430201530456543
SAT_103,0.0011157989501953125,0.00019025802612304688,3.7686612606048584
fft_105,0.0006573200225830078,0.00019502639770507812,0.01802849769592285
perceptron_109,0.008551836013793945,0.0003666877746582031,35.66134548187256
adi_91,0.004424571990966797,0.00026106834411621094,3.4811439514160156
gramschmidt_large_94,0.0020742416381835938,0.0002753734588623047,0
lu_large_111,0.0016036033630371094,0.04835987091064453,5.976312637329102
fdtd-2d_97,0.101348876953125,0.0003790855407714844,8.816586017608643
bayes_112,0.012732267379760742,0.00022983551025390625,0.03867650032043457
envelop_113,0.0014643669128417969,0.00015497207641601562,0.10549235343933105
fibonacci_114,0.0011246204376220703,0.00016021728515625,0.971482515335083
2mm_119,0.0017447471618652344,0,0
correlation_large_98,0.1040644645690918,0.0003256797790527344,0
