Task Key,Transfer Time (s),Compile Time (s),Execution Time (s)
mengtekaluo_37,0.06357455253601074,1.6972272396087646,43.267582416534424
perceptron_38,1.351555585861206,7.58446478843689,9.660739660263062
dynprog_standard_39,0.001056671142578125,0.054766178131103516,0.61322021484375
correlation_large_40,0.08706879615783691,1.7733783721923828,255.60468101501465
lu_large_41,0.0021245479583740234,0.04610300064086914,6.4471516609191895
2mm_42,0.003358125686645508,0.059325456619262695,27.252302169799805
fibonacci_43,0.10288715362548828,1.6931297779083252,6.756455183029175
fft_44,0.0016300678253173828,0.04042196273803711,0.06166982650756836
seidel-2d_45,0.004297971725463867,0.047210693359375,15.134101152420044
bayes_46,0.4550933837890625,3.1950323581695557,3.9270668029785156
perceptron_47,1.6980087757110596,0.00048422813415527344,156.47403216362
perceptron_48,0.006647825241088867,0.4071083068847656,35.91237163543701
SAT_50,0.0028150081634521484,0.06514716148376465,3.870981216430664
dynprog_standard_51,0.1088249683380127,1.5089833736419678,5.30595588684082
2mm_53,0.003312349319458008,0.00023245811462402344,24.163310527801514
envelop_55,0.21484827995300293,2.822700023651123,3.6849966049194336
lu_large_58,0.10055351257324219,1.4685266017913818,33.919880867004395
gramschmidt_standard_61,0.0034759044647216797,0.05344820022583008,0.6152968406677246
perceptron_62,0.032804250717163086,0.00023794174194335938,35.597248554229736
seidel-2d_52,0.0035009384155273438,0.00021767616271972656,15.199046850204468
covariance_large_60,0.0511937141418457,1.9772694110870361,0
seidel-2d_54,0.0035567283630371094,0.0002732276916503906,15.232398271560669
seidel-2d_56,0.00430750846862793,0.00019860267639160156,15.14492130279541
dynprog_standard_63,0.0012784004211425781,0.0001609325408935547,0.562631368637085
dynprog_standard_64,0.0016973018646240234,0.000316619873046875,0.5619776248931885
bayes_65,0.006556034088134766,0.13645052909851074,0.17168736457824707
correlation_standard_66,0.002156972885131836,0.0489349365234375,2.1372671127319336
lu_large_67,0.0015690326690673828,0.00022673606872558594,6.0083277225494385
quick-sort_69,0.0017714500427246094,0.04809165000915527,17.935201168060303
mengtekaluo_68,0.002076387405395508,0.04344677925109863,9.366857528686523
fft_70,0.0014705657958984375,0.00046706199645996094,0.02033686637878418
bayes_71,0.015712738037109375,0.00023508071899414062,0.046817779541015625
perceptron_73,0.01772475242614746,0.00031256675720214844,35.51212239265442
seidel-2d_57,0.00189208984375,0.00021719932556152344,15.155660390853882
covariance_large_72,0.0015418529510498047,0.05166912078857422,50.662054777145386
fft_75,0.0009884834289550781,0.0001697540283203125,0.018619775772094727
lu_large_76,0.0015842914581298828,0.0001678466796875,6.014849424362183
dynprog_standard_77,0.0031366348266601562,0.000255584716796875,0.5778958797454834
SAT_78,0.0017931461334228516,0.00014972686767578125,3.7834889888763428
fibonacci_79,0.004603385925292969,0.04800248146057129,1.0263850688934326
perceptron_80,0.009042024612426758,0.0001513957977294922,35.9983594417572
fdtd-2d_74,0.08462834358215332,2.049891710281372,10.816248178482056
gramschmidt_large_81,0.09959244728088379,1.5604727268218994,75.11013865470886
fft_84,0.002445220947265625,0.00048732757568359375,0.021503925323486328
dynprog_standard_85,0.002318859100341797,0.00015020370483398438,0.5832540988922119
lu_large_86,0.0032384395599365234,0.00029158592224121094,6.109298229217529
gramschmidt_standard_87,0.0017092227935791016,0.00024700164794921875,0.5520052909851074
fft_88,0.0035381317138671875,0.00022602081298828125,0.026575565338134766
fdtd-2d_89,0.002180814743041992,0.051262855529785156,1.6013545989990234
lu_large_90,0.0019025802612304688,0.00021839141845703125,6.106513261795044
gramschmidt_standard_91,0.0022881031036376953,0.0002999305725097656,1.0268206596374512
fibonacci_92,0.0010528564453125,0.00020241737365722656,0.9773168563842773
fdtd-2d_93,0.0013172626495361328,0.00028324127197265625,1.8902299404144287
envelop_94,0.0017611980438232422,0.05228161811828613,0.16237187385559082
fibonacci_95,0.0025849342346191406,0.0002868175506591797,0.9587445259094238
covariance_standard_96,0.0028162002563476562,0.05543971061706543,2.0304083824157715
bayes_97,0.006721019744873047,0.00020432472229003906,0.03792285919189453
covariance_large_98,0.0020394325256347656,0.00021839141845703125,55.0405809879303
perceptron_101,0.011076211929321289,0.00017452239990234375,36.70230054855347
correlation_standard_102,0.003928422927856445,0.0002856254577636719,2.046231508255005
durbin_large_49,0.06126570701599121,1.836747646331787,20.402825117111206
adi_100,0.12682652473449707,1.5748083591461182,0
covariance_standard_105,0.0013103485107421875,0.00022268295288085938,1.9131276607513428
perceptron_106,0.017394542694091797,0.00024247169494628906,0
fdtd-2d_99,0.0026531219482421875,0.0001468658447265625,1.5416111946105957
fdtd-2d_103,0.002863168716430664,0.00033211708068847656,1.569732904434204
fdtd-2d_104,0.0018427371978759766,0.0002651214599609375,1.5996184349060059
durbin_large_59,0.05634140968322754,0.0003235340118408203,0
covariance_large_107,0.003143310546875,0.00023484230041503906,0
