Task Key,Transfer Time (s),Compile Time (s),Execution Time (s)
covariance_standard_37,0.12154603004455566,1.4733431339263916,18.751291036605835
lu_large_40,0.0022504329681396484,0.05570387840270996,6.265783071517944
perceptron_38,0.8700957298278809,8.14856219291687,163.8542127609253
sieve-eratos_41,0.002646923065185547,0.06879234313964844,2.5947277545928955
adi_39,0.11666369438171387,2.000969648361206,19.560975074768066
lu_large_43,0.0011029243469238281,0.00017714500427246094,6.018439769744873
fft_44,0.0019919872283935547,0.029778718948364258,0.054998159408569336
SAT_45,0.002546072006225586,0.05390596389770508,3.853205919265747
correlation_large_42,0.26538753509521484,2.4830119609832764,257.34608912467957
fdtd-2d_46,0.0024080276489257812,0.05012941360473633,1.7043986320495605
fibonacci_47,0.0018336772918701172,0.04082846641540527,1.0256500244140625
gramschmidt_standard_49,0.0027332305908203125,0.04726386070251465,0.6548805236816406
adi_50,0.0026493072509765625,0.05038809776306152,3.4853835105895996
covariance_large_48,0.0023593902587890625,0.05041313171386719,55.268192768096924
covariance_large_52,0.0578007698059082,1.6370165348052979,0
envelop_55,0.002733945846557617,0.05015420913696289,0.15268516540527344
envelop_57,0.0018551349639892578,0.00024580955505371094,0.09803080558776855
2mm_59,0.0036051273345947266,0.049234867095947266,23.41748356819153
2mm_62,0.0028045177459716797,0.00036716461181640625,23.42039942741394
quick-sort_51,0.0019304752349853516,0.05161285400390625,17.56204390525818
lu_large_67,0.014415740966796875,0.00016164779663085938,5.8401899337768555
quick-sort_73,0.002167940139770508,0.0002720355987548828,18.12893271446228
covariance_standard_74,0.0031719207763671875,0.05451059341430664,2.0201449394226074
2mm_77,0.0022590160369873047,0.00034809112548828125,23.492153882980347
quick-sort_87,0.002239704132080078,0.00022864341735839844,17.63302779197693
fft_78,0.0016016960144042969,0.0002415180206298828,0.01719069480895996
2mm_80,0.0016946792602539062,0.000152587890625,23.111382007598877
seidel-2d_54,0.0017855167388916016,0.056455135345458984,15.054032325744629
seidel-2d_72,0.004003047943115234,0.0002300739288330078,15.112091541290283
lu_large_84,0.0014700889587402344,0.00015234947204589844,5.94284462928772
lu_large_86,0.0017342567443847656,0.0003268718719482422,6.10036039352417
seidel-2d_79,0.14316987991333008,2.3864879608154297,78.46197962760925
2mm_88,0.012389898300170898,0.0003192424774169922,30.846051454544067
fdtd-2d_75,0.0021393299102783203,0.000270843505859375,1.5941894054412842
fdtd-2d_82,0.006115436553955078,0.0003116130828857422,1.6142199039459229
lu_large_90,0.0013606548309326172,0.000148773193359375,6.309033632278442
fdtd-2d_92,0.002014636993408203,0.00014925003051757812,1.5934629440307617
lu_large_99,0.0015835762023925781,0.00015211105346679688,6.182047128677368
2mm_103,0.0016198158264160156,0.0001533031463623047,27.10500192642212
gramschmidt_standard_109,0.0015361309051513672,0.00018930435180664062,0.5621035099029541
gramschmidt_standard_111,0.0020933151245117188,0.00017905235290527344,0.5548512935638428
perceptron_58,0.0078277587890625,0.34276795387268066,36.24085187911987
sieve-eratos_134,0.0016303062438964844,0.00013875961303710938,2.4309239387512207
fdtd-2d_106,0.001958608627319336,0.00023245811462402344,1.5127475261688232
fdtd-2d_107,0.003941774368286133,0.00023627281188964844,1.5276117324829102
fdtd-2d_110,0.0013427734375,0.0003304481506347656,1.5167782306671143
durbin_standard_144,0.0020439624786376953,0.05102038383483887,0.45009565353393555
fdtd-2d_112,0.0015919208526611328,0.0002810955047607422,1.5094430446624756
lu_large_113,0.002343416213989258,0.0002143383026123047,6.097383260726929
fibonacci_63,0.0010745525360107422,0.0002589225769042969,0.9543602466583252
lu_extralarge_66,0.0017240047454833984,0.04590201377868652,46.82264757156372
perceptron_68,0.011822938919067383,0.00027751922607421875,36.559842586517334
floyd_143,0.14252686500549316,1.7412586212158203,11.725290536880493
seidel-2d_147,0.05407309532165527,0.0003521442413330078,0
TSP_95,0.06493115425109863,2.4776089191436768,0
bayes_69,0.011739730834960938,0.1549382209777832,0.21253180503845215
dynprog_standard_70,0.004931211471557617,0.05323505401611328,0.6345486640930176
bayes_71,0.005166053771972656,0.0002143383026123047,0.039469003677368164
gramschmidt_standard_123,0.0078277587890625,0.0003724098205566406,0.5911977291107178
lu_large_124,0.010682821273803711,0.0003209114074707031,6.499610185623169
adi_81,0.0022230148315429688,0.00035190582275390625,3.678366184234619
bayes_83,0.021019697189331055,0.0002987384796142578,0.05650496482849121
gramschmidt_standard_126,0.0024857521057128906,0.0002853870391845703,0.6849699020385742
fdtd-2d_120,0.0016021728515625,0.00013899803161621094,1.5777091979980469
2mm_127,0.0017688274383544922,0.00023031234741210938,0
gramschmidt_standard_129,0.001483917236328125,0.00022935867309570312,0.6108741760253906
fdtd-2d_137,0.0019092559814453125,0.00022721290588378906,1.5792837142944336
