relative_time,usage_percent,used_mb,root_dir
7.152557373046875e-07,36.7,1170.7734375,
0.10069155693054199,36.7,1170.7734375,
0.2012791633605957,36.7,1170.7734375,
0.30223822593688965,36.7,1170.7734375,
0.4032909870147705,36.7,1170.7734375,
0.504509687423706,36.7,1170.7734375,
0.6059296131134033,36.7,1170.7734375,
0.7063717842102051,36.7,1170.7734375,
0.807387113571167,36.7,1170.7734375,
0.9079937934875488,36.7,1170.7734375,
1.0099866390228271,36.7,1170.7734375,
1.1115310192108154,36.7,1170.7734375,
1.2127444744110107,36.7,1170.7734375,
1.3133018016815186,36.7,1170.7734375,
1.4147193431854248,36.7,1170.7734375,
1.5152125358581543,36.7,1170.7734375,
1.6164546012878418,36.7,1170.7734375,
1.71761155128479,36.7,1170.7734375,
1.8192238807678223,36.7,1170.7734375,
1.9205129146575928,36.7,1170.7734375,
2.021768569946289,36.7,1170.7734375,
2.12269926071167,36.7,1170.7734375,
2.2236316204071045,36.7,1170.7734375,
2.3246877193450928,36.7,1170.7734375,
2.4256694316864014,36.7,1170.7734375,
2.5267722606658936,36.7,1170.7734375,
2.6276984214782715,36.7,1170.7734375,
2.7287352085113525,36.7,1170.7734375,
2.83019757270813,36.7,1170.7734375,
2.930974245071411,36.7,1170.7734375,
3.032548427581787,36.7,1170.7734375,
3.1336631774902344,36.7,1170.7734375,
3.2342922687530518,36.7,1170.7734375,
3.335503578186035,36.7,1170.7734375,
3.4370598793029785,36.7,1170.7734375,
3.5382745265960693,36.7,1170.7734375,
3.6390769481658936,36.7,1170.7734375,
3.73974347114563,36.7,1170.7734375,
3.84079647064209,36.7,1170.7734375,
3.941765785217285,36.7,1170.82265625,
4.042844295501709,36.7,1170.871875,
4.144880056381226,36.7,1170.92109375,
4.246244668960571,36.7,1170.9703125,
4.347672939300537,36.7,1171.01953125,
4.448876142501831,36.7,1171.01953125,
4.550062894821167,36.7,1171.01953125,
4.6505255699157715,36.7,1171.01953125,
4.751942157745361,36.7,1171.01953125,
4.853271245956421,36.7,1171.01953125,
4.954298257827759,36.7,1171.01953125,
5.0552802085876465,36.7,1171.01953125,
5.156339168548584,36.7,1171.01953125,
5.257458209991455,36.7,1171.01953125,
5.358502388000488,36.7,1171.01953125,
5.459820747375488,36.7,1171.01953125,
5.561070680618286,36.7,1171.01953125,
5.662110805511475,36.7,1171.01953125,
5.763185262680054,36.7,1171.01953125,
5.863816499710083,36.7,1171.01953125,
5.96435022354126,36.7,1171.01953125,
6.064861536026001,36.7,1171.01953125,
6.165351867675781,36.7,1171.01953125,
6.265964984893799,36.7,1171.01953125,
6.36746072769165,36.7,1171.01953125,
6.468163013458252,36.7,1171.01953125,
6.56965708732605,36.7,1171.01953125,
6.670362710952759,36.7,1171.01953125,
6.7717444896698,36.7,1171.01953125,
6.872617959976196,36.7,1171.01953125,
6.97305703163147,36.7,1171.01953125,
7.07363224029541,36.7,1171.01953125,
7.174241065979004,36.7,1171.01953125,
7.275058269500732,36.7,1171.01953125,
7.37577223777771,36.7,1171.01953125,
7.476786851882935,36.7,1171.01953125,
7.578200817108154,36.7,1171.01953125,
7.67951512336731,36.7,1171.01953125,
7.780653715133667,36.7,1171.01953125,
7.881652355194092,36.7,1171.01953125,
7.982676982879639,36.7,1171.01953125,
8.083765983581543,36.7,1171.01953125,
8.185175657272339,36.7,1171.01953125,
8.286105155944824,36.7,1171.01953125,
8.387304544448853,36.7,1171.01953125,
8.488558530807495,36.7,1171.01953125,
8.589694499969482,36.7,1171.01953125,
8.69063115119934,36.7,1171.01953125,
8.791744470596313,36.7,1171.01953125,
8.892879724502563,36.7,1171.01953125,
8.994122505187988,36.7,1171.01953125,
9.095291137695312,36.7,1171.01953125,
9.196656227111816,36.7,1171.01953125,
9.297719955444336,36.7,1171.01953125,
9.399094343185425,36.7,1171.01953125,
9.500439405441284,36.7,1171.01953125,
9.601197957992554,36.7,1171.01953125,
9.701899528503418,36.7,1171.01953125,
9.803380727767944,36.7,1171.01953125,
9.904605150222778,36.7,1171.01953125,
10.005863666534424,36.7,1171.01953125,
10.107177734375,36.7,1171.01953125,
10.208543539047241,36.7,1171.01953125,
10.30977725982666,36.7,1171.01953125,
10.410730838775635,36.7,1171.01953125,
10.512054920196533,36.7,1171.01953125,
10.612947940826416,36.7,1171.01953125,
10.713986873626709,36.7,1171.01953125,
