Task Key,Transfer Time (s),Compile Time (s),Execution Time (s)
envelop_37,0.16396069526672363,0,0.7904903888702393
SAT_38,0.002237558364868164,0,3.73213791847229
perceptron_39,30.793152809143066,0,178.70751762390137
adi_40,0.0027036666870117188,0,3.4793200492858887
lu_extralarge_41,0.27984094619750977,0,250.43057918548584
fdtd-2d_42,0.026276111602783203,0,9.242056846618652
2mm_46,0.0026443004608154297,0,23.82181978225708
gramschmidt_large_43,0.0016086101531982422,0,44.80785822868347
covariance_large_44,0.021101951599121094,0,0
fft_47,0.010925769805908203,0,0.02514505386352539
gramschmidt_standard_49,0.0015652179718017578,0,0.561316967010498
mengtekaluo_52,0.004307746887207031,0,9.212090015411377
mengtekaluo_53,0.0022907257080078125,0,9.1986985206604
fibonacci_54,0.004296302795410156,0,0.9559292793273926
covariance_large_45,0.0012423992156982422,0,53.38195037841797
fibonacci_55,0.002983570098876953,0,0.9620242118835449
mengtekaluo_56,0.0017635822296142578,0,9.215680122375488
fft_57,0.0015294551849365234,0,0.018857240676879883
fibonacci_58,0.0031518936157226562,0,0.9697067737579346
correlation_standard_60,0.0027420520782470703,0,1.9454560279846191
2mm_61,0.0018191337585449219,0,24.393194437026978
lu_large_62,0.002438783645629883,0,6.056039571762085
fft_63,0.0025222301483154297,0,0.024733304977416992
dynprog_standard_64,0.002130270004272461,0,0.5742149353027344
mengtekaluo_67,0.004639387130737305,0,9.318739891052246
covariance_large_48,0.0015463829040527344,0,51.0100359916687
gramschmidt_standard_68,0.0016999244689941406,0,0.5606272220611572
lu_large_71,0.0010590553283691406,0,5.901735544204712
gramschmidt_standard_72,0.0026388168334960938,0,0.5416245460510254
perceptron_73,0.18673205375671387,0,35.73885726928711
correlation_large_50,0.019028663635253906,0,0
gramschmidt_large_51,0.002390146255493164,0,42.86306357383728
covariance_standard_74,0.0043792724609375,0,1.9015917778015137
2mm_75,0.0048694610595703125,0,22.137638092041016
mengtekaluo_76,0.0014560222625732422,0,9.290569305419922
bayes_77,0.03136444091796875,0,0.06282806396484375
gramschmidt_standard_78,0.0019001960754394531,0,0.5612421035766602
dynprog_standard_79,0.0022690296173095703,0,0.5693442821502686
2mm_80,0.002644062042236328,0,23.341174840927124
seidel-2d_59,0.006090641021728516,0,15.089566230773926
covariance_large_65,0.0036246776580810547,0,45.43830895423889
correlation_standard_83,0.004317760467529297,0,1.9598853588104248
2mm_86,0.003677845001220703,0,23.93001890182495
2mm_87,0.00323486328125,0,0
string-sort_66,0.01868915557861328,0,9.633575916290283
durbin_standard_69,0.002963542938232422,0,0.4222252368927002
covariance_large_70,0.0014541149139404297,0,0
gramschmidt_large_81,0.033853769302368164,0,0
