Task Key,Transfer Time (s),Compile Time (s),Execution Time (s)
adi_37,0.3085899353027344,0.0008156299591064453,28.996331214904785
bayes_38,0.003505229949951172,0.00021529197692871094,0.03127026557922363
fibonacci_39,0.0016732215881347656,0.00022649765014648438,0.9559428691864014
envelop_40,0.01163792610168457,0.0002524852752685547,0.11069965362548828
covariance_large_41,0.00490260124206543,0.00020694732666015625,56.53764891624451
correlation_large_43,0.07818150520324707,0.00014638900756835938,105.59870600700378
gramschmidt_large_44,0.2687535285949707,2.34476637840271,157.73477339744568
correlation_standard_45,0.002254962921142578,0.0003008842468261719,2.052464485168457
quick-sort_42,0.2250213623046875,1.8040027618408203,81.6512930393219
fft_46,0.0018191337585449219,0.0001919269561767578,0.018996238708496094
covariance_standard_48,0.002704143524169922,0.0003256797790527344,1.949592113494873
gramschmidt_standard_50,0.003795146942138672,0,0.5588512420654297
gramschmidt_standard_51,0.0035266876220703125,0,0.557227373123169
mengtekaluo_52,0.001224517822265625,0.03969550132751465,9.287359237670898
fft_55,0.0007903575897216797,0.0001480579376220703,0.019890785217285156
2mm_56,0.00189971923828125,0,28.094666719436646
floyd_47,0.0011565685272216797,0.00021147727966308594,2.53151273727417
fdtd-2d_49,0.002476215362548828,0.00034236907958984375,1.5950298309326172
lu_extralarge_53,0.00434112548828125,0.048059940338134766,47.359867334365845
fibonacci_60,0.0015108585357666016,0.00023412704467773438,0.9757249355316162
bayes_61,0.006287813186645508,0.00041961669921875,0.03474068641662598
2mm_62,0.0019683837890625,0,34.556241273880005
covariance_large_54,0.2081155776977539,0.0002994537353515625,0
gramschmidt_large_57,0.0018773078918457031,0.053784847259521484,43.13922572135925
mengtekaluo_64,0.002132892608642578,0.00025153160095214844,9.286250352859497
covariance_large_58,0.10230469703674316,0.00030517578125,105.92061614990234
fft_65,0.00399327278137207,0.0002589225769042969,0.02249908447265625
bayes_66,0.011835575103759766,0.00018453598022460938,0.044112205505371094
gramschmidt_standard_67,0.0029430389404296875,0,0.5545191764831543
fft_68,0.0018513202667236328,0.0002658367156982422,0.02072453498840332
covariance_standard_69,0.006724834442138672,0.0002646446228027344,1.9954016208648682
fft_70,0.0015387535095214844,0.0003561973571777344,0.020194292068481445
gramschmidt_standard_72,0.007030963897705078,0,0.5544312000274658
bayes_76,0.00988006591796875,0.0002295970916748047,0.036690473556518555
mengtekaluo_77,0.0025305747985839844,0.00022840499877929688,9.306246042251587
bayes_78,0.0031418800354003906,0.00033211708068847656,0.025606870651245117
lu_large_79,0.002711057662963867,0.00025081634521484375,5.914403676986694
correlation_standard_80,0.0019409656524658203,0.0002276897430419922,1.9599850177764893
gramschmidt_standard_81,0.007795572280883789,0,0.5602481365203857
fft_82,0.0013074874877929688,0.00015664100646972656,0.0211331844329834
mengtekaluo_83,0.004305601119995117,0.0002334117889404297,9.28894829750061
covariance_large_59,0.002490520477294922,0.0002334117889404297,54.632341384887695
fibonacci_84,0.0018923282623291016,0.000194549560546875,0.9684767723083496
covariance_standard_85,0.0018148422241210938,0.00015473365783691406,1.8893845081329346
fibonacci_87,0.00138092041015625,0.00014066696166992188,0.9849638938903809
covariance_large_63,0.07747626304626465,0.0002353191375732422,0
gramschmidt_standard_88,0.0020627975463867188,0,0.5586590766906738
envelop_89,0.00421452522277832,0.00021886825561523438,0.10529899597167969
bayes_90,0.0043027400970458984,0.00015926361083984375,0.02651071548461914
envelop_91,0.0014154911041259766,0.0003414154052734375,0.11203908920288086
dynprog_standard_92,0.0012102127075195312,0.00015735626220703125,0.5680074691772461
bayes_95,0.013363361358642578,0.00024008750915527344,0.044754743576049805
covariance_standard_96,0.0013816356658935547,0.00021386146545410156,1.9143686294555664
perceptron_98,0.018552780151367188,0.00014972686767578125,35.56928253173828
adi_71,0.0015799999237060547,0.00015878677368164062,3.5512521266937256
2mm_99,0.010285377502441406,0,35.8215126991272
lu_extralarge_73,0.0018451213836669922,0.0001697540283203125,46.83765912055969
adi_74,0.12157678604125977,0.0003437995910644531,26.19398808479309
lu_extralarge_75,0.10595917701721191,2.015294313430786,0
bayes_100,0.0195009708404541,0.0005266666412353516,0.053427934646606445
perceptron_102,0.010804414749145508,0.0002319812774658203,0
seidel-2d_86,0.001523733139038086,0.0002415180206298828,15.142788648605347
correlation_large_93,0.001634836196899414,0.0003075599670410156,0
